"Bereich";"Seitentitel";"URL/Pfad";"Sichtbar angezeigt";"Funktionen/Bedienelemente";"Zugriffsstatus";"Hinweise auf Grenzen"
"Einstellungen – Lead Generierung";"Energiehaus – Varianten/Links";"/portal-settings?settings=energyhouse&tab=links";"Benutzerdefinierte Energiehaus-Konfigurationen (Hausverwaltung, Flyer, Rechner, Fertighäuser) und Nutzeranfragezahlen; Mikail Aslan mit 0.";"Beobachtet: Konfigurationszeilen, Nutzerlinks, Öffnen/QR-/Mehr-Menüs.";"Zugänglich";"Links nur angezeigt; keine Konfiguration geändert."
"Einstellungen – Lead Generierung";"Energiehaus – Einbindung";"/portal-settings?settings=energyhouse&tab=embedding";"Loader-Script, Element-Snippet mit data-product energyhouse und Client-ID, Conversion-Tracking/Eventtypen.";"Beobachtet: Codeblöcke und Skript kopieren, Tracking-Hinweise.";"Zugänglich";"Keine Codes kopiert/verändert; Snippet nur als sichtbare Anleitung erfasst."
"Einstellungen – Lead Generierung";"Energiefirma – Anzeigeeinstellungen";"/portal-settings?settings=energycompany&tab=display-settings";"Corporate-Energiehaus-Startseite mit Begrüßungs-/PV-Wirtschaftstext, Anfrage- und Nach-Anfrage-Texten sowie Vorschau.";"Beobachtet: Textfelder, Schalter, Vorschau, Speichern.";"Zugänglich";"Keine Änderung."
"Einstellungen – Lead Generierung";"Energiefirma – Einbindung";"/portal-settings?settings=energycompany&tab=embedding";"Element-Snippet data-product energycompany und Conversion-Tracking/Eventdokumentation.";"Beobachtet: Codeblöcke, Skript kopieren, Tracking-Hinweise.";"Zugänglich";"Keine Codes kopiert/verändert."
"Einstellungen – Lead Generierung";"Energiefirma – Kostenprofile";"/portal-settings?settings=energycompany&tab=cost-profiles";"Keine Kostenprofile.";"Beobachtet: Kostenprofil erstellen.";"Zugänglich";"Kein Profil erstellt."
"Einstellungen – Lead Generierung";"Energiemieter";"/portal-settings?settings=energytenant";"Kein Zugriff; Meldung, dass Administratoren keinen Zugriff haben.";"Keine nutzbaren Inhalts-/Bearbeitungsfunktionen sichtbar.";"Route zugänglich, Bereich verweigert";"Energiemieter nicht prüfbar."
"Einstellungen – Lead Generierung";"Kontakt-Formular";"/portal-settings?settings=contact-form&tab=h360";"Haushaltsformular-Vorschau mit Anrede, Name, E-Mail, Telefon, Adresse, Interesse, Nachricht; Einbettungssnippet; Gewerbe gesperrt/deaktiviert.";"Beobachtet: Vorschau, Feldkonfiguration, Snippet, Speichern.";"Zugänglich für Haushalt; Gewerbe eingeschränkt";"Keine Formularänderung; kein Absenden."
"Einstellungen – Lead Generierung";"Leadquellen";"/portal-settings?settings=lead-sources&tab=h360";"Quellen Hausverwaltung, Ahmad Ablieh, Asvendo Flyer 2026 Nr. 1, Einwurf Flyer, Rechner, Leuchter Media, Matthias von der Heyden.";"Beobachtet: Haushalts-/Gewerbe-Tabs und Quellenverwaltung.";"Zugänglich";"Keine Quelle geändert."
"Einstellungen – Planung & Angebot";"Planung";"/portal-settings?settings=planning";"Standard-Komponenten-MwSt., Solarplanungsmodus Schnelle Planung/3D, String-Planungsschalter.";"Beobachtet: Dropdowns/Toggles, Speichern.";"Zugänglich";"Keine Planungsoption geändert."
"Einstellungen – Planung & Angebot";"Angebotsvorlagen";"/portal-settings?settings=planning-templates-and-packages&tab=offer-templates";"Eine inaktive Angebotsvorlage Notstromlösung mit automatischer Netztrennung, 0 Pakete konfiguriert.";"Beobachtet: Suche, Angebotsvorlage erstellen, Zeilenmenü, Tabs.";"Zugänglich";"Keine Vorlage aktiviert/erstellt."
"Einstellungen – Planung & Angebot";"Planungspakete";"/portal-settings?settings=planning-templates-and-packages&tab=planning-packages";"Drei aktive Pakete (Notstromlösung, AC-Wallbox, DC-Wallbox) mit Preisen.";"Beobachtet: Suche, Paket erstellen, Aktivstatus, Zeilenmenüs.";"Zugänglich";"Keine Paketänderung."
"Einstellungen – Planung & Angebot";"Planungsvorlagen";"/portal-settings?settings=planning-templates-and-packages&tab=planning-templates";"Eine aktive Vorlage Standardpositionen.";"Beobachtet: Suche, Vorlage erstellen, Status/Zeilenmenü.";"Zugänglich";"Keine Vorlage geändert."
"Einstellungen – Planung & Angebot";"KI-Planungsvalidierung";"/portal-settings?settings=ai-project-checker";"Zehn inaktive KI-Validierungsvorlagen; Haushalt/Gewerbe-Zuordnung sichtbar.";"Beobachtet: Vorlagenliste, Aktivstatus, Bearbeitungs-/Mehr-Menüs.";"Zugänglich";"Keine Vorlage aktiviert."
"Einstellungen – Planung & Angebot";"Förderungen";"/portal-settings?settings=subsidies&tab=h360";"Keine Förderungen; Haushalt-/Gewerbe-Tabs.";"Beobachtet: Förderung erstellen, Tabs.";"Zugänglich";"Keine Förderung erstellt."
"Einstellungen – Planung & Angebot";"Photogrammetrie-Abonnement";"/portal-settings?settings=photogrammetry-subscription";"3D-Drohnenmodell-Abo 99 €/Monat inkl. 20 Jobs, danach 5 €/Job; ein kostenloser Job.";"Beobachtet: Abonnieren, kostenlose Jobs, Kosten-/Leistungsinformationen.";"Zugänglich";"Kein Abo abgeschlossen und kein Job eingelöst."
"Einstellungen – Planung & Angebot";"Rabattvorlagen";"/portal-settings?settings=rebate-templates";"Haushaltsansicht; keine Rabattvorlagen.";"Beobachtet: Rabattvorlage erstellen, Archivfilter.";"Zugänglich";"Keine Vorlage erstellt."
"Einstellungen – Planung & Angebot";"Vorlagen für laufende Kosten";"/portal-settings?settings=recurring-cost-templates";"Kein Zugriff; Administratoren haben keinen Zugriff.";"Keine nutzbaren Funktionen sichtbar.";"Route zugänglich, Bereich verweigert";"Nicht prüfbar."
"Einstellungen – Planung & Angebot";"Angebot – Allgemein";"/portal-settings?settings=offer-general&tab=h360";"Haushalt/Gewerbe; Kundenansprache, Angebotsnummernformat, Preisdisplay Einzel-/Paket-/Gesamtpreis, Angebotssignatur, 14 Tage Gültigkeit.";"Beobachtet: Felder, Toggles, Tabs, Speichern.";"Zugänglich";"Keine Angebotsoption geändert."
"Einstellungen – Planung & Angebot";"Seiten & Design";"/portal-settings?settings=offer-pages-and-design&tab=h360";"PDF-Seitenvorlage mit Deckblatt, Firmenvorstellung, Testimonial, Gebäude, PV, Wallbox, Wärmepumpe, Haushalt, Förderungen, Simulation, Wirtschaftlichkeit, Klimaschutz, Komponenten und Recht; Fußlayout.";"Beobachtet: Seiten-/Designkonfiguration, Reihenfolge/Schalter, Speichern.";"Zugänglich";"Keine Designänderung."
"Einstellungen – Planung & Angebot";"Rechtliches";"/portal-settings?settings=offer-legal&tab=h360";"Ein Entwurf Rechtstextvorlage Entwurf Stand 07.06.2026; Haushalt/Gewerbe-Tabs.";"Beobachtet: Vorlage erstellen, Vorlagenverwaltung, Tabs.";"Zugänglich";"Keine Rechtstextänderung."
"Einstellungen – Simulation";"Simulationsgrundlagen";"/portal-settings?settings=simulation-basics&tab=h360";"Planungshorizont in Jahren; Haushalt/Gewerbe-Tabs.";"Beobachtet: Eingabe/Dropdowns, Speichern.";"Zugänglich";"Keine Simulationseinstellung geändert."
"Einstellungen – Simulation";"Strom & Gaspreise";"/portal-settings?settings=energy-gas-price";"Standardpreise für Strom/Gas/Öl, Steigerungsraten, Wärmepumpenstandardwerte; keine Tarife.";"Beobachtet: Tarif erstellen, Preisfelder, Speichern.";"Zugänglich";"Keine Preise/Tarife geändert."
"Einstellungen – Simulation";"Heizlast Materialien";"/portal-settings?settings=heating-load-materials";"Haushaltsansicht; DIN-EN-12831-Standardwerte; keine benutzerdefinierten Materialien.";"Beobachtet: Material erstellen, Felder, Speichern.";"Zugänglich";"Keine Materialänderung."
"Einstellungen – Fortschrittsverfolgung";"Installationsfortschritt";"/portal-settings?settings=installation-tracking";"Statuskonfiguration sichtbar; Bearbeiten-Schaltfläche.";"Beobachtet: Statusverwaltung/Bearbeiten.";"Zugänglich";"Detailzustand nur oberflächlich geprüft; keine Statusänderung."
"Einstellungen – Fortschrittsverfolgung";"FAQ";"/portal-settings?settings=faq";"FAQ-Bereich für Kundenportal/Installations-Kanban; im Sweep keine Detailfragen sichtbar.";"Beobachtet: FAQ-Bereich und Verwaltungsnavigation.";"Zugänglich; Inhalte nicht vollständig geladen/angezeigt";"Keine FAQ geändert."
"Einstellungen – Vorlagen für Dateianfragen";"Vorlagen für Dateianfragen";"/portal-settings?settings=file-request-templates";"Keine manuellen Vorlagen; automatische Vorlagen für Fotos (Zählerschrank, Dach, Wallbox, Verteilerschrank, Wechselrichter/Batteriestandort, sonstige) inaktiv; Haushalt.";"Beobachtet: Vorlagen-/Aktivschalter, Archiv-/Bearbeitungsfunktionen.";"Zugänglich";"Keine Vorlage aktiviert/erstellt."
"Einstellungen – Kundenkommunikation";"Automatische E-Mails";"/portal-settings?settings=automatic-emails&tab=h360";"E-Mail-Inhalte nach Anfrage, erstem/überarbeitetem Angebot, Datei-Anfragen, Angebotsannahme, Kundenportal-Freigabe und Absage; Haushalt/Gewerbe.";"Beobachtet: E-Mail-Inhalte öffnen, Tabs, Speichern.";"Zugänglich";"Keine E-Mailvorlage geändert; kein Versand."
"Einstellungen – API / Developers";"Webhooks";"/portal-settings?settings=api-webhooks-page";"HTTPS-Endpunkt, Aktiv-Schalter, Signaturschlüssel, abonnierte Ereignisse; 0/24 Ereignisse ausgewählt; Zustellversuche.";"Beobachtet: Dokumentation, Endpunkt-/Signaturschlüssel-Felder, Ereignisse auswählen, Speichern, Testereignis senden.";"Zugänglich";"Keine URL/Schlüssel/Ereignisse geändert; Testereignis nicht gesendet."
"Einstellungen – API / Developers";"API";"/portal-settings?settings=api";"API-Schlüssel-Liste mit Zugriffsebene/Letzter Verwendung/Erstellt von/Aktiv; Beispiel-cURL und Dokumentationslink.";"Beobachtet: Dokumentation, Logs anzeigen, API-Schlüssel erstellen, Aktivverwaltung.";"Zugänglich";"Keine Schlüssel erstellt/angezeigt/rotated; sensible Schlüsselwerte nicht ausgelesen."
"Verkaufsassistent";"Verkaufsassistent – Analysen";"/sales-assistant/analyses";"Analyse-/Wettbewerber-Navigation und die vorhandene Analyse WM Erneuerbare Energien – 11,25kWp PV mit Speicher & Wallbox.";"Beobachtet: Neue Analyse, Analyse öffnen, Wettbewerber-Navigation.";"Zugänglich";"Direkter Aufruf zeigte im Sweep dieselbe Analyseübersicht wie der Verkaufsassistent; keine neue Analyse gestartet."
"Verkaufsassistent";"Verkaufsassistent – Wettbewerberliste";"/sales-assistant/competitors";"2 Wettbewerber: My Solar Express (durchwachsen, 1 Angebot, Osnabrück) und WM Erneuerbare Energien GmbH (positiv, 1 Angebot, Dielheim).";"Beobachtet: Zusammenführen, Wettbewerber öffnen, Analyse-/Angebotsnavigation.";"Zugänglich";"Keine Wettbewerber zusammengeführt oder Daten aktualisiert."
"Verkaufsassistent";"Verkaufsassistent – Neue Analyse";"/sales-assistant/new";"Ansicht mit Uploadbereich für Konkurrenzangebote (PDF/Bild) und Bestätigung der Berechtigung/Verarbeitung; Analyse erstellen zunächst deaktiviert.";"Beobachtet: Konkurrenzangebote hochladen, Zustimmung, Analyse erstellen.";"Zugänglich";"Keine Dateien hochgeladen; keine Zustimmung erteilt und keine Analyse erstellt."
"Dateien – Übersicht";"Meine Dateien";"/files?subview=files";"Tab Dateien; Empty State Noch keine Dateien; Ablagehinweis für Bild, PDF, CSV oder Excel";"Tabs Dateien und Datei-Anfragen; Dateien auswählen; Dropzone/Klickbereich";"Zugänglich";"Keine Dateien vorhanden; Datei-Auswahl/Upload nicht betätigt."
"Dateien – Datei-Anfragen";"Meine Dateien";"/files?subview=fileRequests";"Leerer Anfragebereich; Hinweis, dass Bilder oder PDFs direkt aus dem Tool per E-Mail angefordert werden können";"Tabs Dateien und Datei-Anfragen; Los geht's; Nicht jetzt";"Zugänglich";"Keine Anfrage gestartet oder versendet; keine Formulareingabe."
"Notizen";"Meine Notizen";"/notes";"Interne Notiz-Ansicht mit Editor-Platzhalter Deine interne Anmerkung...";"Formatierungsleiste mit H1 bis H6; Aufnehmen; Absenden; @-Benachrichtigungen; Editor";"Zugänglich";"Keine Notiz eingegeben, aufgenommen oder abgesendet."
"Aufgaben – zusätzliche Ansicht";"Aufgaben";"/tasks";"Ansichten/Alle Aufgaben sichtbar; 1 Ergebnis Objektaufnahme; nach Umschalten keine URL-Änderung";"Alle Aufgaben; Suche; Fälligkeit; Nutzer; Teams; Labels; Abgeschlossen; Aufgabe hinzufügen; Zeilenaktionen";"Zugänglich";"Zusätzliche Ansicht ist clientseitig auf derselben Route; Aufgabe nicht geöffnet oder geändert."
"Agenten – Leeransicht im KI/Agenten-Reiter";"Aufgaben";"/tasks";"Agenten-Reiter ausgewählt; Noch keine Agenten";"Reonic KI; Agenten; Plus/Add-Control; Schritt-für-Schritt Agenten-Erstellung";"Zugänglich";"Der Agenten-Reiter zeigte zunächst keine Agenten und blieb auf /tasks; separater Listenpfad wurde über den Add-Control erreicht."
"Reonic KI – generisches Modal";"Reonic KI";"/tasks";"Modal Reonic KI: Wobei kann ich dir helfen? Frag zur aktuellen Seite, entwirf Angebote oder erkunde deine Daten.";"Vorschläge Fasse zusammen, was ich gerade sehe; Was sind meine offenen Aufgaben?; Entwirf eine Notiz für dieses Projekt; Anhang; Frag mich alles…; Senden";"Zugänglich";"Modal öffnet über den Plus/Add-Control; direkter Klick auf den bereits ausgewählten Reonic-KI-Reiter war ohne sichtbare Änderung; keine Vorschlag-Auswahl und keine Nachricht gesendet."
"Schritt-für-Schritt Agenten-Erstellung – KI-Modal";"Reonic KI";"/tasks";"Assistant erklärt Agent als digitalen Mitarbeiter; fragt nach Aufgabe und Trigger; Beispiele Kunden danken, Installationsaufgaben erstellen, überfällige Rechnungen; Vorschläge auf Basis aktueller Projekte";"Chat-Eingabe Frag mich alles…; Anhang; Senden; Modal-Steuerung für neues/erweitertes/schließbares Fenster";"Zugänglich";"Über sichtbaren Einstieg Schritt-für-Schritt Agenten-Erstellung erreichbar; keine Chat-Nachricht gesendet. Beim Audit wurde durch einen versehentlichen ESC-Tastaturversuch lokal ungesendeter Text ESC in das Eingabefeld geschrieben und nicht abgesendet."
"Agenten – Liste";"Agenten Beta";"/agents";"Zunächst Noch keine vorhanden; nach dem Öffnen von Neuer Agent listete die Ansicht N Neuer Agent mit 1 Job; Agenten vorschlagen sichtbar";"Suche; Neuer Agent; Agenten vorschlagen; Agenten-Karte; Läufe letzte 30 Tage";"Zugänglich";"Der Einstieg Neuer Agent erzeugte beim Audit trotz fehlender Speicherung einen UUID-Draft und danach einen sichtbaren Agenten mit 1 Job; keine Felder gespeichert oder bearbeitet; kein Löschen ausgeführt."
"Agenten – Vorschlagsdialog, Scan";"Arbeitsbereich wird gescannt";"/agents";"Nach Agenten vorschlagen zunächst Scan-Dialog Arbeitsbereich wird gescannt";"Scan-/Dialogschließen-Steuerung sichtbar";"Zugänglich, Scan abgeschlossen";"Nur Lesescan; keine Empfehlung angenommen oder erstellt."
"Agenten – Vorschlagsdialog, erweitert";"Agenten vorschlagen";"/agents";"8 Probleme, die dich gerade Geld kosten; 7 Karten sichtbar plus separat gruppierte Karte, insgesamt Agent 1 bis Agent 8: 24 neue Leads ohne Besitzer; 108,1K unterzeichnete Abschlüsse warten auf Installation; 3 untätige Angebote seit 14+ Tagen; 1 Installation mit offener Checkliste; Angebote ohne Tags; tägliche Zusammenfassung neuer Anfragen; neue Leads bei Eingang vorqualifizieren";"Agenten vorschlagen; Mehr anzeigen; Agenten erstellen deaktiviert; Karten mit Beheben mit und Auslösern Bei Anfrageerstellung oder täglich 06:00/07:00";"Zugänglich";"Empfehlungen sind Portal-/KI-Anzeigen und wurden nicht unabhängig validiert; keine Karte ausgewählt, kein Agent erstellt."
"Agenten – Neuer Agent";"Agenten / Neuer Agent";"/agents/4525fd33-c247-46a3-a2c7-0c3e46c5d1c7";"Name standardmäßig Neuer Agent; übergeordnetes Ziel; Status Im Urlaub/Arbeitet; automatische bestätigungspflichtige Aktionen Nein/Ja; Jobs mit 0 Läufen und Noch keine vorhanden";"Name-Eingabe; Ziel-Textarea; Statusschalter; Nein/Ja-Schalter; Job hinzufügen; Speichern";"Zugänglich";"UUID-Route wurde durch Öffnen von Neuer Agent erzeugt; kein Text eingegeben, kein Schalter geändert, kein Job gespeichert."
"Agenten – Job-Konfiguration";"Agenten / Neuer Agent / Job 1";"/agents/4525fd33-c247-46a3-a2c7-0c3e46c5d1c7/tasks/4a53bb2f-7845-42f9-8d70-8cadbe0961f8";"Job 1; Status Inaktiv/Aktiv; Hinweis Anweisung ist erforderlich; Trigger Bei Projektstatusänderung oder Jede Statusänderung; Beschreibung; Gedächtnis Noch keine Erinnerungen; vergangene Läufe 0 erfolgreich";"Job-Name; Trigger-Auswahl; Beschreibung-Textarea; Speichern; Testen";"Zugänglich";"Route wurde durch Öffnen von Job hinzufügen erzeugt; keine Anweisung/Trigger-Auswahl eingegeben, kein Test und keine Speicherung ausgeführt."
